target,best_state,best_Rdep,cs_spread,cs_rel_drop,cs_flag,n_slices_ident,Rdep_overall,Rdep_Rest,Rdep_Stim8hr,Rdep_Stim48hr
RPP21,Stim48hr,0.2476,0.2316,0.9355,True,3,0.3369,0.016,0.1693,0.2476
CD3D,Stim8hr,0.2773,0.2293,0.8269,True,3,0.2616,0.048,0.2773,0.2159
CD3G,Stim8hr,0.2397,0.197,0.8218,True,3,0.2472,0.0427,0.2397,0.1185
CD247,Stim8hr,0.2335,0.1877,0.8039,True,3,0.1935,0.0458,0.2335,0.0869
AAMP,Stim8hr,0.2045,0.1865,0.9119,True,3,0.2942,0.1412,0.2045,0.018
TMX1,Stim8hr,0.1931,0.18,0.9324,True,3,0.1764,0.013,0.1931,0.1322
TRIP12,Stim8hr,0.2002,0.1783,0.8906,True,3,0.1042,0.0219,0.2002,0.1536
QARS1,Stim8hr,0.2553,0.1758,0.6885,True,2,0.3065,0.0795,0.2553,NA
LCP2,Stim8hr,0.2267,0.1682,0.7419,True,3,0.2409,0.0585,0.2267,0.1483
ZAP70,Stim8hr,0.1981,0.1662,0.8389,True,3,0.226,0.0319,0.1981,0.1383
TRMT5,Stim48hr,0.2583,0.1645,0.6367,True,3,0.3297,0.144,0.0938,0.2583
HECTD4,Stim48hr,0.1727,0.1618,0.9369,True,3,0.2006,0.0109,0.0557,0.1727
ABCF1,Rest,0.2002,0.1557,0.7774,True,3,0.2683,0.2002,0.1447,0.0446
PRDM1,Stim48hr,0.1759,0.1541,0.8759,True,3,0.1182,0.1581,0.0218,0.1759
WAPL,Rest,0.2081,0.1526,0.7337,True,3,0.2567,0.2081,0.1045,0.0554
PCGF1,Stim48hr,0.2191,0.1474,0.6728,True,3,0.1825,0.1162,0.0717,0.2191
CHCHD4,Stim48hr,0.2244,0.1471,0.6553,True,3,0.2922,0.1121,0.0774,0.2244
MED12,Stim8hr,0.2457,0.1451,0.5906,True,3,0.2301,0.1427,0.2457,0.1006
EP300,Stim48hr,0.1753,0.1429,0.8148,True,2,0.039,NA,0.0325,0.1753
TMA16,Rest,0.1796,0.1426,0.7939,True,3,0.2546,0.1796,0.1486,0.037
ITK,Stim8hr,0.1562,0.1425,0.9118,True,3,0.1654,0.0138,0.1562,0.1044
TASOR,Stim48hr,0.152,0.1422,0.9357,True,2,0.0476,NA,0.0098,0.152
NOP16,Rest,0.1581,0.1368,0.8656,True,3,0.2257,0.1581,0.1371,0.0213
FOXN2,Rest,0.2022,0.1358,0.6719,True,2,0.0691,0.2022,0.0663,NA
GEMIN2,Rest,0.1989,0.1346,0.6765,True,2,0.2409,0.1989,0.0643,NA
EXOC4,Rest,0.1937,0.134,0.6914,True,3,0.2451,0.1937,0.1143,0.0598
RPP38,Stim8hr,0.2193,0.1332,0.6072,True,2,0.2673,0.0861,0.2193,NA
ZEB1,Rest,0.1694,0.1331,0.7856,True,3,0.155,0.1694,0.1369,0.0363
VMA21,Stim8hr,0.2105,0.1327,0.6304,True,2,0.2602,0.0778,0.2105,NA
ZNHIT1,Rest,0.1553,0.1314,0.8462,True,3,0.2305,0.1553,0.1378,0.0239
STT3B,Rest,0.2269,0.1302,0.5737,True,3,0.3013,0.2269,0.1394,0.0967
APAF1,Rest,0.1332,0.129,0.9683,False,2,0.151,0.1332,0.0042,NA
NDUFAB1,Stim48hr,0.2024,0.1286,0.6355,True,3,0.3284,0.1988,0.0738,0.2024
DUSP28,Stim8hr,0.1978,0.1276,0.6455,True,3,0.2414,0.0701,0.1978,0.1174
TRIM11,Stim48hr,0.1855,0.1275,0.6873,True,2,0.2672,NA,0.058,0.1855
CREBBP,Stim8hr,0.2087,0.127,0.6087,True,3,0.1997,0.1072,0.2087,0.0817
TSR2,Stim8hr,0.1852,0.1245,0.6722,True,3,0.2741,0.122,0.1852,0.0607
ZWILCH,Rest,0.2048,0.1242,0.6066,True,3,0.2675,0.2048,0.0953,0.0806
ECT2,Rest,0.1358,0.1227,0.9036,False,3,0.1802,0.1358,0.1252,0.0131
VIRMA,Rest,0.1725,0.1224,0.7094,True,3,0.2218,0.1725,0.0501,0.0558
SDHA,Stim8hr,0.1636,0.1211,0.7402,True,3,0.2383,0.0863,0.1636,0.0425
COX11,Stim48hr,0.1631,0.1209,0.7412,True,3,0.1758,0.0422,0.063,0.1631
ATXN10,Stim48hr,0.1854,0.1206,0.6504,True,3,0.2132,0.0648,0.0718,0.1854
DCAF13,Rest,0.173,0.1206,0.6971,True,3,0.2423,0.173,0.0848,0.0524
TRMT13,Rest,0.1714,0.1205,0.7028,True,3,0.2033,0.1714,0.0509,0.0602
EIF2S2,Stim48hr,0.1715,0.1199,0.6995,True,3,0.2444,0.1578,0.0515,0.1715
MED13,Stim48hr,0.1308,0.119,0.9103,False,3,0.0866,0.0117,0.0277,0.1308
OGFOD1,Rest,0.1292,0.1188,0.9197,False,3,0.2258,0.1292,0.0433,0.0104
