target,n_guides,E_t,R_t,R_status,S_t,rank_S,rank_E,rank_shift
GFPT1,2,2.24333,0.6346,ok,1.42362,1,1,0
POP1,2,1.72088,0.6701,ok,1.15321,2,15,13
RPL3,2,1.59862,0.6522,ok,1.04254,3,32,29
DUT,2,1.65005,0.614,ok,1.01306,4,24,20
QARS1,2,1.48536,0.6618,ok,0.98301,5,56,51
RPS3,2,1.4005,0.7009,ok,0.98165,6,87,81
MED22,2,1.95979,0.5001,ok,0.98002,7,4,-3
TBL3,2,1.48953,0.6486,ok,0.96609,8,52,44
TAF2,2,1.90568,0.4996,ok,0.952,9,8,-1
NOL11,2,1.67254,0.5685,ok,0.95085,10,19,9
CUL1,2,2.07768,0.4451,ok,0.92477,11,2,-9
RPP21,2,1.28967,0.6936,ok,0.89456,12,140,128
NGDN,2,1.42234,0.6215,ok,0.88402,13,81,68
CINP,2,1.51249,0.581,ok,0.87872,14,43,29
IMP4,2,1.36846,0.6389,ok,0.87438,15,107,92
SKP1,2,1.37466,0.6333,ok,0.87056,16,104,88
EIF2B5,2,1.2566,0.6621,ok,0.83194,17,158,141
AHCY,2,1.52001,0.5455,ok,0.82922,18,42,24
NMD3,2,1.23176,0.6693,ok,0.82436,19,176,157
RABGGTA,2,1.42989,0.5724,ok,0.81854,20,77,57
MTREX,2,1.39573,0.577,ok,0.8054,21,90,69
POLD2,2,1.94132,0.4122,ok,0.80018,22,5,-17
BCCIP,2,1.50117,0.5312,ok,0.79746,23,48,25
GAPDH,2,1.6855,0.472,ok,0.79563,24,18,-6
PGM3,2,1.46918,0.5329,ok,0.78294,25,63,38
TTI1,2,1.32012,0.5913,ok,0.78053,26,123,97
KANSL2,2,2.03624,0.3799,ok,0.77347,27,3,-24
DNTTIP2,2,1.57665,0.4902,ok,0.77283,28,36,8
ZBTB11,2,1.2852,0.6013,ok,0.77281,29,141,112
COG3,2,1.27205,0.6032,ok,0.76726,30,148,118
JAK1,2,1.50169,0.5093,ok,0.76481,31,47,16
TRIM11,2,1.34321,0.5677,ok,0.76256,32,112,80
SURF6,2,1.18836,0.641,ok,0.76168,33,202,169
