target,view,n_guides,n_donors,E_t,R_guide,R_donor_shrunk,R_dep,S_t
GFPT1,overall,2,3,2.2433,0.6346,0.3539,0.294,0.6595
POP1,overall,2,4,1.7209,0.6701,0.3764,0.3175,0.5465
MED22,overall,2,3,1.9598,0.5001,0.3152,0.2397,0.4697
RPS3,overall,2,4,1.4005,0.7009,0.3913,0.3353,0.4696
QARS1,overall,2,4,1.4854,0.6618,0.3635,0.3065,0.4553
RPP21,overall,2,4,1.2897,0.6936,0.3957,0.3369,0.4344
NOL11,overall,2,4,1.6725,0.5685,0.3196,0.2572,0.4302
RPL3,overall,2,3,1.5986,0.6522,0.3139,0.2689,0.4299
CUL1,overall,2,2,2.0777,0.4451,0.2773,0.2061,0.4282
DUT,overall,2,4,1.6501,0.614,0.3099,0.2593,0.4279
CINP,overall,2,4,1.5125,0.581,0.353,0.2814,0.4256
IMP4,overall,2,4,1.3685,0.6389,0.3652,0.3027,0.4143
TAF2,overall,2,2,1.9057,0.4996,0.2756,0.216,0.4116
NMD3,overall,2,4,1.2318,0.6693,0.3905,0.3274,0.4032
NGDN,overall,2,4,1.4223,0.6215,0.3305,0.2751,0.3913
AHCY,overall,2,3,1.52,0.5455,0.3267,0.2568,0.3904
EIF2B5,overall,2,3,1.2566,0.6621,0.3662,0.3085,0.3877
GAPDH,overall,2,4,1.6855,0.472,0.3045,0.2271,0.3828
SKP1,overall,2,3,1.3747,0.6333,0.3281,0.2757,0.379
PGM3,overall,2,3,1.4692,0.5329,0.3326,0.2576,0.3784
TBL3,overall,2,3,1.4895,0.6486,0.2915,0.2517,0.3749
NDUFAB1,overall,2,4,1.1187,0.6787,0.3888,0.3284,0.3674
MTREX,overall,2,4,1.3957,0.577,0.326,0.2631,0.3672
COG3,overall,2,4,1.272,0.6032,0.3525,0.2861,0.364
TRMT5,overall,2,4,1.1008,0.6871,0.388,0.3297,0.363
SRPRA,overall,2,4,1.239,0.6101,0.359,0.292,0.3618
TRIM11,overall,2,4,1.3432,0.5677,0.3354,0.2672,0.3589
TOMM20,overall,2,4,1.0524,0.7103,0.3921,0.338,0.3557
